names,descriptions,statuses,bill_committees,sponsors
S.2693,Reliable Emergency Alert Distribution Improvement Act of 2019,Introduced,"Commerce, Science, and Transportation","Sen. Schatz, Brian [D-HI]"
S.2692,School Modernization and Efficient Access to Lunches for Students Act of 2019,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Casey, Robert P., Jr. [D-PA]"
S.2691,A bill to establish the position of Ombudsman for Border and Immigration Enforcement Related Concerns in the Department of Homeland Security.,Introduced,Homeland Security and Governmental Affairs,"Sen. Udall, Tom [D-NM]"
S.2690,"Restoring, Enhancing, Securing, and Promoting Our Nation's Safety Efforts Act of 2019",Introduced,Judiciary,"Sen. Cornyn, John [R-TX]"
S.2689,No Biometric Barriers to Housing Act of 2019,Introduced,"Banking, Housing, and Urban Affairs","Sen. Booker, Cory A. [D-NJ]"
S.2688,Technology Transitions Act of 2019,Introduced,Energy and Natural Resources,"Sen. Cassidy, Bill [R-LA]"
S.2687,Low-Income Water Customer Assistance Programs Act of 2019,Introduced,Environment and Public Works,"Sen. Cardin, Benjamin L. [D-MD]"
S.2686,Suspicious Order Identification Act of 2019,Introduced,Judiciary,"Sen. Gardner, Cory [R-CO]"
S.2685,Consumer Credit Control Act of 2019,Introduced,"Banking, Housing, and Urban Affairs","Sen. Reed, Jack [D-RI]"
S.2684,"Housing, Opportunity, Mobility, and Equity Act of 2019",Introduced,Finance,"Sen. Booker, Cory A. [D-NJ]"
S.2683,Child Care Protection Improvement Act of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Burr, Richard [R-NC]"
S.2682,SOAR Permanent Authorization Act,Introduced,Homeland Security and Governmental Affairs,"Sen. Johnson, Ron [R-WI]"
S.2681,Alice Cogswell and Anne Sullivan Macy Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Markey, Edward J. [D-MA]"
S.2680,Palestinian International Terrorism Support Prevention Act of 2019,Introduced,Foreign Relations,"Sen. Rubio, Marco [R-FL]"
S.2679,Citizenship for Children of Military Members and Civil Servants Act,Introduced,Judiciary,"Sen. Duckworth, Tammy [D-IL]"
